57|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
58|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
59|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
60|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
62|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
63|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
64|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
65|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
66|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|200|0|
67|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|150|0|
68|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
69|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|200|0|
70|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|200|0|
71|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
72|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
73|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
74|1|0|18|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|800|0|
75|1|0|18|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|800|0|
76|1|0|18|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|800|0|
77|1|0|18|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|800|0|
91|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
92|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
93|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
94|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
95|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
96|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|500|0|
97|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|500|0|
98|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|500|0|
99|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
100|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|500|0|
103|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|500|0|
104|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
105|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
106|1|0|11|ФП|43|300|250|0|0|0|0|0|0|0|0|0|0|0|0|0|
